sma_fast,sma_slow,total_return,cagr,sharpe,max_drawdown,trades
70,250,5.799240589141846,0.0765383243560791,0.6305387949359014,-0.33717256784439087,19
60,275,5.748350143432617,0.07622718811035156,0.6274031360014063,-0.34700316190719604,19
30,300,5.580282688140869,0.07518339157104492,0.6253539814778649,-0.3371726870536804,19
40,150,4.901610851287842,0.07068979740142822,0.6226392517231949,-0.3535706400871277,41
60,125,5.091161251068115,0.07199287414550781,0.6224897232114753,-0.3371726870536804,43
90,250,5.736259460449219,0.07615292072296143,0.6193334090918096,-0.3371725082397461,17
40,300,5.514376640319824,0.07476699352264404,0.6184839135187682,-0.33717262744903564,17
60,200,5.313169479370117,0.07347047328948975,0.6154570913660038,-0.3371726870536804,27
70,275,5.553602695465088,0.07501530647277832,0.6150673970143568,-0.3371726870536804,19
10,150,3.9277448654174805,0.06328606605529785,0.6073561081485097,-0.2632545232772827,87
50,300,5.332724571228027,0.07359814643859863,0.6060356016786677,-0.33717262744903564,17
70,175,5.241379261016846,0.07299816608428955,0.6052730198743744,-0.3511275053024292,27
30,250,4.847161769866943,0.07030797004699707,0.6039948745578143,-0.3760276436805725,25
90,225,5.121254920959473,0.0721961259841919,0.5944330666595569,-0.3371726870536804,21
100,175,5.078882694244385,0.07190966606140137,0.5900548676682394,-0.33717256784439087,29
90,200,4.979495048522949,0.07123005390167236,0.5865455245639482,-0.3371725082397461,25
50,175,4.6528849601745605,0.06891739368438721,0.5855777164217788,-0.33717256784439087,27
40,125,4.2380499839782715,0.06578731536865234,0.584704170827655,-0.3140212297439575,47
20,275,4.345648288726807,0.06662154197692871,0.581978415639128,-0.29109764099121094,27
40,100,4.199740409851074,0.06548643112182617,0.581278794694735,-0.2910977005958557,59
50,100,4.057896137237549,0.0643531084060669,0.5698391265746332,-0.3428959250450134,53
100,200,4.695651054382324,0.06922733783721924,0.5693009126872156,-0.3371727466583252,23
50,125,4.054460525512695,0.06432533264160156,0.5670836111384912,-0.33717262744903564,45
20,150,3.654977321624756,0.06095898151397705,0.566543038624633,-0.28810781240463257,59
90,175,4.585564613342285,0.06842470169067383,0.5665252255601956,-0.3371726870536804,29
60,175,4.3501505851745605,0.06665611267089844,0.5648533567142617,-0.33717262744903564,27
100,125,4.4728264808654785,0.06758689880371094,0.556794193622997,-0.3371726870536804,55
50,75,3.8160271644592285,0.062348365783691406,0.5560938399076416,-0.29109787940979004,71
30,150,3.7404603958129883,0.06170213222503662,0.5555407515230472,-0.31475937366485596,45
80,175,4.261935234069824,0.06597399711608887,0.5528033284568473,-0.3371725082397461,27
70,150,3.9470391273498535,0.063446044921875,0.5413211883566503,-0.33717256784439087,39
20,100,3.2988414764404297,0.05771493911743164,0.5409564015266982,-0.24592983722686768,69
80,150,3.9865617752075195,0.06377160549163818,0.5404784366842299,-0.3515547513961792,37
90,125,4.104474067687988,0.06472861766815186,0.5387841763291068,-0.35314416885375977,51
100,150,4.075917720794678,0.06449878215789795,0.5365595564502678,-0.33717256784439087,45
30,75,3.260791301727295,0.05735325813293457,0.5350684229245704,-0.3005949854850769,75
60,150,3.734243392944336,0.06164848804473877,0.5308712910831139,-0.33717280626296997,33
60,75,3.44293212890625,0.05905759334564209,0.5304812597917868,-0.32680022716522217,95
90,150,3.8825197219848633,0.06290900707244873,0.5277754459616217,-0.34004127979278564,47
20,125,3.0677990913391113,0.05546915531158447,0.5232410985039369,-0.3186241388320923,61
70,100,3.3885717391967773,0.05855607986450195,0.516309422388649,-0.33717262744903564,57
40,75,3.1582789421081543,0.05636286735534668,0.5153634092098193,-0.33212655782699585,69
30,125,3.1583385467529297,0.056363463401794434,0.5114811891520487,-0.293806254863739,53
40,50,2.965965509414673,0.05444002151489258,0.503767314784687,-0.3838297724723816,155
60,100,2.9783473014831543,0.05456650257110596,0.49192311219598883,-0.3371727466583252,55
80,125,3.2100086212158203,0.056865572929382324,0.49103624654793676,-0.3371726870536804,45
70,125,3.0568671226501465,0.055359840393066406,0.4888268978265564,-0.3371727466583252,45
80,100,2.985109329223633,0.05463540554046631,0.48471909574836136,-0.3371724486351013,67
20,75,2.6065139770507812,0.050592660903930664,0.48177307723155116,-0.2925568222999573,89
70,75,2.60412335395813,0.05056583881378174,0.45879202887001136,-0.33717256784439087,145
90,100,2.6442110538482666,0.05101299285888672,0.45350338435184356,-0.3371724486351013,81
10,50,2.138662576675415,0.044991135597229004,0.4465208318528456,-0.28585922718048096,167
30,100,2.318556785583496,0.047234416007995605,0.4449272369502242,-0.35338538885116577,67
30,50,1.727607250213623,0.039362430572509766,0.3795433436613284,-0.3206866979598999,125
20,50,1.572096347808838,0.0370175838470459,0.37059255291221144,-0.3422125577926636,135
